,last_name,fp1,fp2,fp3
0,Verstappen,2.0,3.0,1.0
1,Gasly,5.0,7.0,13.0
2,Perez,6.0,10.0,5.0
3,Alonso,15.0,11.0,7.0
4,Leclerc,1.0,2.0,3.0
5,Stroll,12.0,15.0,18.0
6,,9.0,,
7,Magnussen,17.0,8.0,16.0
8,Tsunoda,18.0,14.0,10.0
9,Albon,8.0,16.0,8.0
10,Zhou,11.0,17.0,15.0
11,Ricciardo,10.0,9.0,11.0
12,Ocon,13.0,18.0,17.0
13,Norris,7.0,6.0,9.0
14,Schumacher,16.0,19.0,19.0
15,Vettel,14.0,13.0,20.0
16,Sainz,3.0,1.0,2.0
17,Latifi,20.0,20.0,12.0
18,Russell,4.0,4.0,6.0
19,Kubica,19.0,,
20,Hamilton,,5.0,4.0
21,Bottas,,12.0,14.0
