last_name;fp1;fp2;fp3
Verstappen;2.0;7.0;1.0
Russell;7.0;13.0;7.0
Sainz;1.0;4.0;3.0
Schumacher;15.0;5.0;19.0
Sargeant;19.0;20.0;20.0
Hamilton;3.0;8.0;5.0
Shwartzman;16.0;20.0;20.0
Ocon;11.0;16.0;13.0
Palou;17.0;20.0;20.0
Zhou;12.0;14.0;20.0
Albon;13.0;18.0;17.0
Tsunoda;14.0;12.0;16.0
Stroll;4.0;15.0;9.0
Alonso;6.0;17.0;6.0
Perez;5.0;10.0;4.0
Gasly;8.0;9.0;10.0
Vettel;10.0;19.0;8.0
Norris;9.0;6.0;12.0
Pourchaire;18.0;20.0;20.0
Giovinazzi;20.0;20.0;20.0
Magnussen;20.0;11.0;14.0
Leclerc;20.0;1.0;2.0
Latifi;20.0;20.0;18.0
Ricciardo;20.0;3.0;15.0
Bottas;20.0;2.0;11.0
