Lap,Albon,Alonso,Bottas,Gasly,Hamilton,Hulkenberg,Latifi,Leclerc,Magnussen,Norris,Ocon,Perez,Ricciardo,Russell,Sainz,Schumacher,Stroll,Tsunoda,Verstappen,Zhou
0,14.0,8.0,6.0,10.0,5.0,17.0,20.0,1.0,7.0,13.0,11.0,4.0,18.0,9.0,3.0,12.0,19.0,16.0,2.0,15.0
2,11.0,9.0,14.0,8.0,4.0,15.0,18.0,1.0,5.0,16.0,10.0,6.0,20.0,7.0,3.0,13.0,17.0,12.0,2.0,19.0
3,11.0,9.0,14.0,8.0,4.0,15.0,19.0,1.0,5.0,17.0,10.0,6.0,20.0,7.0,3.0,13.0,16.0,12.0,2.0,18.0
4,11.0,9.0,14.0,8.0,4.0,15.0,19.0,1.0,6.0,18.0,10.0,5.0,20.0,7.0,3.0,13.0,16.0,12.0,2.0,17.0
5,11.0,9.0,14.0,8.0,4.0,15.0,19.0,1.0,6.0,18.0,10.0,5.0,20.0,7.0,3.0,13.0,17.0,12.0,2.0,16.0
6,12.0,9.0,14.0,8.0,4.0,16.0,19.0,1.0,7.0,18.0,10.0,5.0,20.0,6.0,3.0,13.0,17.0,11.0,2.0,15.0
7,12.0,9.0,13.0,8.0,4.0,16.0,20.0,1.0,7.0,18.0,10.0,5.0,19.0,6.0,3.0,14.0,17.0,11.0,2.0,15.0
8,12.0,9.0,13.0,8.0,4.0,16.0,19.0,1.0,7.0,18.0,10.0,5.0,20.0,6.0,3.0,15.0,17.0,11.0,2.0,14.0
9,13.0,10.0,12.0,8.0,4.0,16.0,19.0,1.0,7.0,18.0,9.0,5.0,20.0,6.0,3.0,15.0,17.0,11.0,2.0,14.0
10,13.0,10.0,12.0,8.0,4.0,17.0,19.0,1.0,7.0,18.0,9.0,5.0,20.0,6.0,3.0,15.0,16.0,11.0,2.0,14.0
11,14.0,10.0,12.0,8.0,5.0,17.0,19.0,1.0,7.0,18.0,9.0,4.0,20.0,6.0,3.0,16.0,15.0,11.0,2.0,13.0
