Lap,Albon,Alonso,Bottas,Gasly,Hamilton,Latifi,Leclerc,Magnussen,Norris,Ocon,Perez,Ricciardo,Russell,Sainz,Schumacher,Stroll,Tsunoda,Verstappen,Vettel,Zhou
0,17.0,6.0,8.0,20.0,7.0,19.0,3.0,13.0,4.0,5.0,11.0,9.0,1.0,2.0,15.0,14.0,16.0,10.0,18.0,12.0
2,15.0,7.0,13.0,20.0,5.0,19.0,3.0,10.0,4.0,6.0,9.0,11.0,1.0,2.0,12.0,14.0,16.0,8.0,18.0,17.0
3,12.0,7.0,14.0,20.0,5.0,19.0,3.0,10.0,4.0,6.0,9.0,11.0,1.0,2.0,13.0,15.0,16.0,8.0,18.0,17.0
4,20.0,7.0,13.0,19.0,5.0,18.0,3.0,10.0,4.0,6.0,9.0,11.0,1.0,2.0,12.0,14.0,15.0,8.0,16.0,17.0
5,20.0,7.0,13.0,19.0,5.0,18.0,3.0,10.0,4.0,6.0,9.0,11.0,1.0,2.0,12.0,14.0,15.0,8.0,16.0,17.0
6,20.0,8.0,13.0,19.0,5.0,18.0,3.0,10.0,4.0,6.0,9.0,11.0,1.0,2.0,12.0,14.0,15.0,7.0,16.0,17.0
7,20.0,8.0,13.0,19.0,5.0,18.0,3.0,12.0,4.0,6.0,9.0,10.0,1.0,2.0,11.0,14.0,15.0,7.0,16.0,17.0
8,19.0,9.0,12.0,18.0,5.0,17.0,3.0,20.0,4.0,7.0,8.0,10.0,1.0,2.0,11.0,13.0,14.0,6.0,15.0,16.0
9,19.0,9.0,12.0,18.0,5.0,17.0,3.0,20.0,4.0,7.0,8.0,10.0,1.0,2.0,11.0,13.0,14.0,6.0,15.0,16.0
10,19.0,9.0,12.0,17.0,5.0,18.0,3.0,20.0,4.0,8.0,7.0,10.0,1.0,2.0,11.0,13.0,14.0,6.0,15.0,16.0
11,19.0,9.0,12.0,17.0,5.0,18.0,3.0,20.0,4.0,8.0,7.0,10.0,1.0,2.0,11.0,13.0,15.0,6.0,14.0,16.0
12,19.0,9.0,12.0,17.0,5.0,18.0,3.0,20.0,4.0,8.0,7.0,10.0,1.0,2.0,11.0,13.0,15.0,6.0,14.0,16.0
13,19.0,9.0,12.0,17.0,4.0,18.0,3.0,20.0,6.0,8.0,7.0,10.0,1.0,2.0,11.0,13.0,15.0,5.0,14.0,16.0
14,19.0,9.0,12.0,16.0,4.0,18.0,3.0,20.0,7.0,8.0,6.0,10.0,1.0,2.0,11.0,13.0,17.0,5.0,14.0,15.0
15,18.0,8.0,12.0,16.0,4.0,17.0,3.0,19.0,9.0,7.0,6.0,10.0,1.0,2.0,11.0,15.0,20.0,5.0,13.0,14.0
16,17.0,8.0,10.0,14.0,4.0,15.0,3.0,20.0,16.0,7.0,6.0,11.0,1.0,2.0,9.0,18.0,19.0,5.0,13.0,12.0
17,15.0,8.0,10.0,13.0,4.0,14.0,2.0,20.0,12.0,7.0,6.0,16.0,3.0,1.0,9.0,17.0,19.0,5.0,18.0,11.0
18,15.0,7.0,10.0,20.0,3.0,13.0,1.0,19.0,12.0,5.0,4.0,14.0,6.0,2.0,9.0,16.0,18.0,8.0,17.0,11.0
19,16.0,7.0,10.0,20.0,2.0,13.0,1.0,19.0,12.0,5.0,3.0,14.0,4.0,6.0,9.0,15.0,18.0,8.0,17.0,11.0
20,16.0,6.0,9.0,19.0,2.0,20.0,1.0,18.0,12.0,5.0,10.0,13.0,3.0,4.0,8.0,14.0,17.0,7.0,15.0,11.0
21,16.0,6.0,10.0,18.0,7.0,20.0,1.0,19.0,11.0,4.0,9.0,13.0,2.0,3.0,8.0,14.0,17.0,5.0,15.0,12.0
22,18.0,6.0,10.0,17.0,7.0,20.0,1.0,19.0,9.0,5.0,8.0,13.0,2.0,3.0,12.0,14.0,16.0,4.0,15.0,11.0
23,20.0,11.0,9.0,17.0,6.0,19.0,2.0,18.0,8.0,5.0,7.0,12.0,1.0,3.0,15.0,13.0,16.0,4.0,14.0,10.0
24,20.0,11.0,9.0,17.0,5.0,19.0,2.0,18.0,8.0,6.0,7.0,12.0,1.0,3.0,16.0,13.0,15.0,4.0,14.0,10.0
25,20.0,12.0,8.0,16.0,5.0,19.0,2.0,18.0,7.0,11.0,6.0,10.0,1.0,3.0,17.0,13.0,15.0,4.0,14.0,9.0
26,20.0,12.0,8.0,16.0,5.0,19.0,2.0,18.0,7.0,11.0,6.0,10.0,1.0,3.0,17.0,13.0,15.0,4.0,14.0,9.0
27,20.0,12.0,9.0,15.0,5.0,19.0,2.0,18.0,7.0,11.0,6.0,10.0,1.0,3.0,17.0,13.0,16.0,4.0,14.0,8.0
28,20.0,12.0,15.0,14.0,5.0,19.0,2.0,18.0,7.0,10.0,6.0,8.0,1.0,3.0,17.0,11.0,16.0,4.0,13.0,9.0
29,20.0,11.0,14.0,13.0,5.0,18.0,2.0,19.0,7.0,9.0,6.0,8.0,1.0,3.0,16.0,10.0,15.0,4.0,12.0,17.0
30,20.0,11.0,14.0,13.0,5.0,18.0,2.0,19.0,7.0,10.0,6.0,8.0,1.0,3.0,16.0,9.0,15.0,4.0,12.0,17.0
31,20.0,11.0,14.0,13.0,5.0,18.0,2.0,19.0,7.0,10.0,6.0,8.0,1.0,3.0,16.0,9.0,15.0,4.0,12.0,17.0
32,20.0,12.0,14.0,13.0,5.0,18.0,1.0,19.0,7.0,10.0,6.0,8.0,2.0,3.0,16.0,9.0,15.0,4.0,11.0,17.0
33,20.0,12.0,14.0,13.0,5.0,18.0,1.0,19.0,7.0,10.0,6.0,8.0,2.0,3.0,16.0,9.0,15.0,4.0,11.0,17.0
34,20.0,12.0,14.0,13.0,5.0,18.0,1.0,19.0,7.0,10.0,6.0,8.0,2.0,3.0,15.0,9.0,17.0,4.0,11.0,16.0
35,19.0,12.0,14.0,13.0,5.0,17.0,1.0,18.0,7.0,10.0,6.0,8.0,2.0,3.0,15.0,9.0,20.0,4.0,11.0,16.0
36,19.0,12.0,14.0,13.0,5.0,17.0,1.0,18.0,7.0,10.0,6.0,8.0,2.0,3.0,15.0,9.0,20.0,4.0,11.0,16.0
37,18.0,12.0,14.0,13.0,5.0,17.0,1.0,19.0,7.0,10.0,6.0,8.0,2.0,3.0,15.0,9.0,20.0,4.0,11.0,16.0
38,18.0,12.0,14.0,13.0,5.0,17.0,1.0,19.0,7.0,10.0,6.0,8.0,2.0,3.0,15.0,9.0,20.0,4.0,11.0,16.0
39,18.0,12.0,14.0,13.0,5.0,17.0,1.0,19.0,7.0,11.0,6.0,8.0,2.0,3.0,16.0,9.0,20.0,4.0,10.0,15.0
40,18.0,12.0,14.0,13.0,4.0,17.0,1.0,19.0,7.0,11.0,5.0,8.0,3.0,2.0,16.0,9.0,20.0,6.0,10.0,15.0
41,17.0,12.0,14.0,13.0,2.0,19.0,3.0,18.0,7.0,11.0,5.0,8.0,6.0,1.0,16.0,9.0,20.0,4.0,10.0,15.0
42,20.0,11.0,14.0,13.0,2.0,18.0,3.0,17.0,7.0,12.0,5.0,8.0,6.0,1.0,16.0,9.0,19.0,4.0,10.0,15.0
43,20.0,11.0,14.0,13.0,2.0,18.0,3.0,17.0,7.0,12.0,6.0,8.0,5.0,1.0,16.0,9.0,19.0,4.0,10.0,15.0
44,20.0,11.0,14.0,13.0,2.0,18.0,3.0,17.0,9.0,12.0,6.0,7.0,5.0,1.0,16.0,8.0,19.0,4.0,10.0,15.0
45,20.0,11.0,14.0,13.0,2.0,18.0,3.0,17.0,9.0,12.0,6.0,7.0,5.0,1.0,16.0,8.0,19.0,4.0,10.0,15.0
46,19.0,11.0,14.0,13.0,2.0,18.0,4.0,17.0,9.0,12.0,6.0,7.0,5.0,1.0,16.0,8.0,20.0,3.0,10.0,15.0
47,19.0,10.0,13.0,14.0,2.0,18.0,4.0,17.0,7.0,11.0,6.0,8.0,5.0,1.0,16.0,9.0,20.0,3.0,12.0,15.0
48,19.0,8.0,10.0,15.0,1.0,18.0,4.0,17.0,7.0,9.0,6.0,11.0,5.0,2.0,16.0,13.0,20.0,3.0,14.0,12.0
49,19.0,8.0,10.0,15.0,1.0,18.0,3.0,17.0,7.0,9.0,6.0,11.0,4.0,5.0,16.0,12.0,20.0,2.0,14.0,13.0
50,19.0,8.0,10.0,15.0,1.0,18.0,3.0,17.0,7.0,9.0,6.0,12.0,4.0,5.0,16.0,11.0,20.0,2.0,13.0,14.0
51,19.0,8.0,10.0,15.0,1.0,18.0,3.0,17.0,7.0,9.0,6.0,12.0,4.0,5.0,16.0,11.0,20.0,2.0,13.0,14.0
52,19.0,8.0,10.0,14.0,2.0,18.0,3.0,17.0,7.0,9.0,6.0,13.0,4.0,5.0,16.0,11.0,20.0,1.0,12.0,15.0
53,18.0,8.0,10.0,14.0,5.0,17.0,2.0,16.0,7.0,9.0,6.0,13.0,3.0,4.0,15.0,11.0,20.0,1.0,12.0,19.0
54,18.0,8.0,10.0,14.0,5.0,17.0,2.0,16.0,7.0,9.0,6.0,13.0,3.0,4.0,15.0,11.0,20.0,1.0,12.0,19.0
55,18.0,8.0,10.0,14.0,5.0,17.0,4.0,16.0,7.0,9.0,6.0,13.0,2.0,3.0,15.0,11.0,20.0,1.0,12.0,19.0
56,18.0,8.0,10.0,13.0,4.0,17.0,6.0,16.0,7.0,9.0,5.0,14.0,2.0,3.0,15.0,11.0,20.0,1.0,12.0,19.0
57,17.0,8.0,10.0,13.0,4.0,19.0,6.0,16.0,7.0,9.0,5.0,14.0,2.0,3.0,15.0,11.0,20.0,1.0,12.0,18.0
