lap,Alonso,Bottas,De Vries,Gasly,Hamilton,Latifi,Leclerc,Magnussen,Norris,Ocon,Perez,Ricciardo,Russell,Sainz,Schumacher,Stroll,Tsunoda,Verstappen,Vettel,Zhou
2,7.0,20.0,8.0,5.0,18.0,15.0,1.0,13.0,6.0,12.0,16.0,4.0,2.0,14.0,19.0,10.0,17.0,3.0,11.0,9.0
3,7.0,20.0,8.0,5.0,18.0,16.0,1.0,13.0,6.0,12.0,15.0,4.0,2.0,14.0,19.0,10.0,17.0,3.0,11.0,9.0
4,7.0,20.0,8.0,5.0,18.0,16.0,1.0,15.0,6.0,12.0,14.0,4.0,2.0,13.0,19.0,10.0,17.0,3.0,11.0,9.0
5,7.0,20.0,8.0,5.0,18.0,16.0,1.0,15.0,6.0,13.0,14.0,4.0,3.0,11.0,19.0,10.0,17.0,2.0,12.0,9.0
6,7.0,20.0,8.0,5.0,18.0,16.0,1.0,15.0,6.0,14.0,13.0,4.0,3.0,10.0,19.0,11.0,17.0,2.0,12.0,9.0
7,7.0,20.0,8.0,5.0,17.0,16.0,1.0,14.0,6.0,13.0,18.0,4.0,3.0,10.0,19.0,11.0,15.0,2.0,12.0,9.0
8,7.0,19.0,8.0,5.0,16.0,17.0,1.0,15.0,6.0,13.0,20.0,4.0,3.0,9.0,18.0,11.0,14.0,2.0,12.0,10.0
9,7.0,19.0,9.0,5.0,15.0,17.0,1.0,16.0,6.0,13.0,20.0,4.0,3.0,8.0,18.0,11.0,14.0,2.0,12.0,10.0
10,8.0,19.0,9.0,5.0,15.0,17.0,1.0,16.0,6.0,12.0,20.0,4.0,3.0,7.0,18.0,11.0,14.0,2.0,13.0,10.0
11,8.0,18.0,9.0,5.0,13.0,16.0,1.0,15.0,7.0,12.0,19.0,4.0,3.0,6.0,17.0,11.0,14.0,2.0,,10.0
12,8.0,18.0,9.0,6.0,13.0,16.0,2.0,15.0,7.0,12.0,19.0,4.0,3.0,5.0,17.0,11.0,14.0,1.0,,10.0
13,7.0,18.0,9.0,6.0,13.0,15.0,3.0,16.0,8.0,12.0,19.0,5.0,2.0,4.0,17.0,11.0,14.0,1.0,,10.0
14,7.0,18.0,9.0,6.0,13.0,15.0,3.0,16.0,8.0,12.0,19.0,5.0,2.0,4.0,17.0,11.0,14.0,1.0,,10.0
15,7.0,17.0,9.0,6.0,13.0,18.0,3.0,15.0,8.0,12.0,19.0,5.0,2.0,4.0,16.0,11.0,14.0,1.0,,10.0
16,7.0,17.0,9.0,6.0,12.0,19.0,3.0,16.0,8.0,13.0,18.0,5.0,2.0,4.0,15.0,11.0,14.0,1.0,,10.0
17,7.0,17.0,9.0,6.0,11.0,19.0,3.0,16.0,8.0,13.0,18.0,5.0,2.0,4.0,15.0,12.0,14.0,1.0,,10.0
18,7.0,16.0,8.0,9.0,10.0,19.0,3.0,17.0,6.0,12.0,18.0,5.0,2.0,4.0,15.0,14.0,13.0,1.0,,11.0
