Lap,Albon,Alonso,Bottas,Gasly,Hamilton,Hulkenberg,Latifi,Leclerc,Magnussen,Norris,Ocon,Perez,Ricciardo,Russell,Sainz,Stroll,Tsunoda,Verstappen,Zhou
0,16.0,7.0,8.0,9.0,15.0,17.0,18.0,2.0,10.0,11.0,5.0,1.0,14.0,6.0,3.0,13.0,19.0,4.0,12.0
2,15.0,7.0,8.0,10.0,14.0,16.0,17.0,2.0,9.0,11.0,5.0,1.0,13.0,6.0,4.0,12.0,,3.0,18.0
3,15.0,7.0,8.0,11.0,14.0,16.0,18.0,2.0,9.0,10.0,5.0,1.0,13.0,6.0,4.0,12.0,,3.0,17.0
4,15.0,7.0,8.0,11.0,14.0,17.0,18.0,2.0,9.0,10.0,6.0,1.0,13.0,5.0,4.0,12.0,,3.0,16.0
5,15.0,7.0,8.0,10.0,14.0,17.0,18.0,2.0,9.0,11.0,6.0,1.0,13.0,5.0,4.0,12.0,,3.0,16.0
6,16.0,7.0,8.0,10.0,14.0,17.0,18.0,2.0,9.0,11.0,6.0,1.0,13.0,5.0,4.0,12.0,,3.0,15.0
7,16.0,7.0,8.0,10.0,14.0,17.0,18.0,2.0,9.0,11.0,6.0,1.0,13.0,5.0,4.0,12.0,,3.0,15.0
8,17.0,6.0,8.0,10.0,14.0,16.0,18.0,2.0,9.0,11.0,7.0,1.0,13.0,5.0,4.0,12.0,,3.0,15.0
9,17.0,6.0,8.0,10.0,13.0,16.0,18.0,2.0,9.0,11.0,7.0,1.0,15.0,5.0,4.0,12.0,,3.0,14.0
10,16.0,6.0,8.0,10.0,12.0,15.0,17.0,2.0,9.0,11.0,7.0,1.0,18.0,5.0,4.0,13.0,,3.0,14.0
11,16.0,6.0,8.0,10.0,12.0,15.0,17.0,2.0,9.0,11.0,7.0,1.0,18.0,5.0,4.0,13.0,,3.0,14.0
12,16.0,6.0,8.0,10.0,11.0,15.0,17.0,2.0,9.0,12.0,7.0,1.0,18.0,5.0,4.0,14.0,,3.0,13.0
13,16.0,6.0,8.0,10.0,11.0,14.0,17.0,2.0,9.0,12.0,7.0,1.0,18.0,5.0,4.0,15.0,,3.0,13.0
14,17.0,6.0,8.0,10.0,11.0,14.0,16.0,2.0,9.0,12.0,7.0,1.0,18.0,5.0,4.0,15.0,,3.0,13.0
15,17.0,6.0,7.0,11.0,10.0,14.0,,2.0,9.0,12.0,8.0,1.0,15.0,5.0,4.0,16.0,,3.0,13.0
16,17.0,6.0,7.0,11.0,10.0,14.0,,1.0,9.0,12.0,8.0,2.0,15.0,5.0,4.0,16.0,,3.0,13.0
17,17.0,6.0,7.0,15.0,10.0,13.0,,1.0,8.0,11.0,9.0,4.0,14.0,5.0,3.0,16.0,,2.0,12.0
18,17.0,8.0,10.0,14.0,7.0,9.0,,1.0,6.0,13.0,11.0,3.0,12.0,5.0,4.0,16.0,,2.0,15.0
19,17.0,8.0,10.0,14.0,7.0,9.0,,1.0,6.0,13.0,11.0,3.0,12.0,5.0,4.0,16.0,,2.0,15.0
