Lap,Lewis Hamilton,George Russell,Max Verstappen,Sergio Perez,Charles Leclerc,Carlos Sainz Jnr,Lando Norris,Daniel Ricciardo,Esteban Ocon,Fernando Alonso,Pierre Gasly,Yuki Tsunoda,Lance Stroll,Sebastian Vettel,Alexander Albon,Nicholas Latifi,Valtteri Bottas,Zhou Guanyu,Mick Schumacher,Kevin Magnussen
0,14,11,1,3,2,4,5,6,16,9,17,12,15,13,18,19,7,20,10,8
1,12,6,1,2,4,,3,19,13,8,14,10,11,9,15,16,7,18,17,5
2,12,6,1,2,4,,3,19,13,8,14,10,11,9,15,16,7,18,17,5
3,12,6,1,2,4,,3,19,13,8,14,10,11,9,15,16,7,18,17,5
4,12,6,1,2,4,,3,19,13,8,14,10,11,9,15,16,7,18,17,5
5,12,6,1,2,4,,3,19,13,11,14,9,10,8,15,16,7,18,17,5
6,11,6,1,2,4,,3,18,12,19,13,9,10,8,14,15,7,17,16,5
7,11,6,1,2,4,,3,18,12,,13,9,10,8,14,15,7,17,16,5
8,11,6,1,2,3,,4,18,12,,13,9,10,8,14,15,7,17,16,5
9,11,6,1,2,3,,4,18,12,,13,9,10,8,14,15,7,17,16,5
10,11,6,1,2,3,,4,18,12,,13,9,10,8,14,15,7,17,16,5
11,11,6,1,2,3,,4,18,12,,13,9,10,8,14,15,7,17,16,5
12,11,5,1,2,3,,4,18,12,,13,9,10,8,14,15,7,17,16,6
13,11,5,1,2,3,,4,18,12,,13,9,10,8,14,15,6,17,16,7
14,11,5,1,2,3,,4,18,12,,13,9,10,8,14,15,6,16,17,7
15,11,5,1,2,3,,4,18,12,,13,9,10,8,14,15,6,16,17,7
16,11,5,1,2,3,,4,18,12,,13,9,10,8,14,15,6,16,17,7
17,11,5,1,2,3,,4,18,12,,13,8,10,9,17,14,6,15,16,7
18,10,5,1,3,2,,4,18,11,,16,8,9,15,17,12,6,13,14,7
19,14,5,1,4,2,,3,15,11,,12,9,10,7,13,16,6,18,17,8
20,14,5,1,2,3,,4,15,11,,13,9,10,7,12,16,6,18,17,8
21,14,5,1,2,3,,4,15,11,,13,9,10,7,12,16,6,18,17,8
22,14,5,1,2,3,,4,15,11,,13,9,10,7,12,16,6,18,17,8
23,14,5,1,2,3,,4,15,11,,13,9,10,7,12,16,6,18,17,8
24,14,5,1,2,3,,4,15,11,,13,9,10,7,12,16,6,17,18,8
25,14,5,1,2,3,,4,15,11,,13,9,10,7,12,16,6,17,18,8
26,14,5,1,2,3,,4,15,11,,13,9,10,7,12,16,6,17,18,8
27,14,5,1,2,3,,4,15,11,,13,9,10,7,12,16,6,17,18,8
28,14,5,1,2,3,,4,15,11,,13,9,10,7,12,16,6,17,18,8
29,14,5,1,2,3,,4,15,11,,13,9,10,7,12,16,6,17,18,8
30,14,5,1,2,3,,4,15,11,,13,9,10,7,12,16,6,17,18,8
31,14,5,1,2,3,,4,18,11,,13,9,10,7,12,15,6,16,17,8
32,14,5,1,2,3,,4,18,11,,13,9,10,7,12,15,6,16,17,8
33,14,5,1,2,3,,4,18,11,,13,9,10,7,12,15,6,16,17,8
34,14,5,1,2,3,,4,18,11,,13,9,10,7,12,15,6,16,17,8
35,14,5,1,2,3,,4,18,11,,13,9,10,7,12,15,6,16,17,8
36,14,5,1,2,3,,4,18,11,,13,9,10,7,12,15,6,16,17,8
37,14,5,1,2,3,,4,18,11,,13,9,10,7,12,15,6,16,17,8
38,14,5,1,2,3,,4,18,11,,13,9,10,7,12,15,6,16,17,8
39,14,5,1,2,3,,4,18,11,,13,9,10,7,12,15,6,16,17,8
40,14,5,1,2,3,,4,18,11,,13,9,10,7,12,16,6,15,17,8
41,14,5,1,2,3,,4,18,11,,13,9,10,7,12,16,6,15,17,8
42,14,5,1,2,3,,4,18,11,,13,9,10,7,12,16,6,15,17,8
43,14,5,1,2,3,,4,18,11,,13,9,10,7,12,16,6,15,17,8
44,14,5,1,2,3,,4,18,11,,13,9,10,7,12,16,6,15,17,8
45,14,5,1,2,3,,4,18,11,,13,9,10,7,12,16,6,15,17,8
46,14,5,1,2,3,,4,18,11,,13,9,10,7,12,16,6,15,17,8
47,14,5,1,2,3,,4,18,11,,13,8,10,7,12,16,6,15,17,9
48,14,5,1,2,3,,4,18,11,,13,8,10,7,12,16,6,15,17,9
49,14,5,1,2,3,,4,18,11,,13,8,10,7,12,16,6,15,17,9
50,14,5,1,2,4,,3,18,11,,13,8,10,7,12,16,6,15,17,9
51,14,5,1,2,3,,4,18,11,,13,8,10,7,12,16,6,15,17,9
52,14,5,1,2,3,,4,18,11,,13,8,10,7,12,16,6,15,17,9
53,14,4,1,2,5,,3,17,11,,13,8,10,7,12,16,6,15,18,9
54,14,4,1,2,9,,3,17,11,,13,6,10,7,12,16,5,15,18,8
55,14,4,1,2,9,,3,18,11,,13,6,10,7,12,16,5,15,17,8
56,14,4,1,2,8,,3,18,11,,13,6,10,7,12,16,5,15,17,9
57,14,4,1,2,8,,3,18,11,,13,6,10,7,12,16,5,15,17,9
58,14,4,1,2,8,,3,18,11,,13,6,10,7,12,16,5,15,17,9
