event,pos,name,cost,points,ppm
1,1st,Charles Leclerc,10.00,357,36
1,2nd,Carlos Sainz Jr.,10.00,187,19
1,3rd,Lewis Hamilton,19.50,172,9
1,4th,George Russell,12.00,166,14
1,5th,Kevin Magnussen,5.33,145,27
1,6th,Yuki Tsunoda,7.00,137,20
1,7th,Valtteri Bottas,7.00,127,18
1,8th,Esteban Ocon,8.00,127,16
1,9th,Lance Stroll,7.50,108,14
1,10th,Guanyu Zhou,6.50,102,16
1,11th,Fernando Alonso,8.00,93,12
1,12th,Daniel Ricciardo,9.00,89,10
1,13th,Nicholas Latifi,6.00,85,14
1,14th,Max Verstappen,19.50,84,4
1,16th,Mick Schumacher,5.00,80,16
1,15th,Sergio Pérez,10.50,80,8
1,17th,Alexander Albon,6.00,76,13
1,18th,Lando Norris,9.00,67,7
1,19th,Nico Hülkenberg,8.94,63,7
1,20th,Pierre Gasly,9.00,46,5
2,1st,Max Verstappen,18.20,285,16
2,2nd,Charles Leclerc,11.74,230,20
2,3rd,Sergio Pérez,10.06,180,18
2,4th,Carlos Sainz Jr.,10.44,165,16
2,5th,George Russell,12.08,135,11
2,6th,Esteban Ocon,8.18,125,15
2,7th,Lando Norris,8.61,120,14
2,8th,Pierre Gasly,8.45,99,12
2,9th,Lewis Hamilton,18.87,95,5
2,10th,Nico Hülkenberg,8.53,91,11
2,11th,Kevin Magnussen,5.91,87,15
2,12th,Guanyu Zhou,6.63,73,11
2,13th,Alexander Albon,5.98,69,12
2,14th,Lance Stroll,7.58,63,8
2,15th,Fernando Alonso,7.91,43,5
2,16th,Valtteri Bottas,7.28,42,6
2,17th,Daniel Ricciardo,8.78,35,4
2,18th,Nicholas Latifi,6.05,14,2
3,1st,Charles Leclerc,12.59,358,28
3,2nd,Sergio Pérez,10.63,188,18
3,3rd,George Russell,12.06,173,14
3,4th,Lewis Hamilton,17.82,158,9
3,5th,Lando Norris,8.80,148,17
3,6th,Daniel Ricciardo,8.21,131,16
3,7th,Alexander Albon,5.99,128,21
3,8th,Esteban Ocon,8.46,119,14
3,9th,Valtteri Bottas,6.92,118,17
3,10th,Lance Stroll,7.38,109,15
3,11th,Pierre Gasly,8.47,98,12
3,12th,Guanyu Zhou,6.61,91,14
3,13th,Mick Schumacher,5.11,81,16
3,14th,Kevin Magnussen,6.08,79,13
3,15th,Nicholas Latifi,5.57,75,13
3,16th,Max Verstappen,18.88,68,4
3,17th,Yuki Tsunoda,7.35,67,9
3,18th,Fernando Alonso,7.50,65,9
3,19th,Sebastian Vettel,7.50,22,3
3,20th,Carlos Sainz Jr.,10.84,5,0
4,1st,Max Verstappen,17.54,434,25
4,2nd,Sergio Pérez,11.07,226,20
4,3rd,Lando Norris,9.11,224,25
4,4th,Charles Leclerc,14.20,204,14
4,5th,George Russell,12.24,199,16
4,6th,Valtteri Bottas,7.17,179,25
4,7th,Yuki Tsunoda,7.15,163,23
4,8th,Sebastian Vettel,6.93,153,22
4,9th,Kevin Magnussen,6.11,140,23
4,10th,Alexander Albon,6.42,138,21
4,11th,Lance Stroll,7.52,128,17
4,12th,Pierre Gasly,8.41,124,15
4,13th,Esteban Ocon,8.57,108,13
4,14th,Daniel Ricciardo,8.44,107,13
4,15th,Nicholas Latifi,5.61,106,19
4,16th,Lewis Hamilton,17.30,102,6
4,17th,Guanyu Zhou,6.68,97,15
4,18th,Mick Schumacher,5.25,93,18
4,19th,Carlos Sainz Jr.,9.80,49,5
4,20th,Fernando Alonso,7.27,46,6
5,1st,Max Verstappen,18.41,342,19
5,2nd,Charles Leclerc,14.01,207,15
5,3rd,Carlos Sainz Jr.,9.12,177,19
5,4th,George Russell,12.22,162,13
5,6th,Esteban Ocon,8.37,157,19
5,5th,Sergio Pérez,11.33,157,14
5,7th,Alexander Albon,6.61,132,20
